,City,Colors Reported,Shape Reported,State,Time
9563,Grand Rapids,RED,LIGHT,MI,8/15/1996 2:30
9564,Beeville,,LIGHT,TX,8/15/1996 3:00
9565,Gold Beach,,OTHER,OR,8/15/1996 12:00
9566,Greenwich,,RECTANGLE,CT,8/15/1996 14:00
9567,Bethel,,TRIANGLE,AK,8/15/1996 14:30
9568,Clymer,,OTHER,PA,8/15/1996 17:00
9569,Richwood,,FORMATION,WV,8/15/1996 19:00
9570,Beckley,,OTHER,WV,8/15/1996 20:30
9571,Centerport,,CROSS,NY,8/15/1996 21:30
9572,Lexington,,LIGHT,VA,8/15/1996 22:00
9573,Penrose,,OTHER,CO,8/15/1996 22:00
9574,Wellfleet,GREEN,TRIANGLE,MA,8/15/1996 22:00
9575,Plattsburg,RED,TRIANGLE,NY,8/15/1996 23:30
9576,Tecumseh,,,OK,8/16/1996 0:00
9577,Fairfield,,TRIANGLE,OH,8/16/1996 14:30
9578,Santa Barbara,,TRIANGLE,CA,8/16/1996 20:15
9579,Coon Rapids,,OTHER,MN,8/18/1996 3:18
9580,Ft. Wayne,,SPHERE,IN,8/18/1996 23:00
9581,Brewster,,DISK,MA,8/19/1996 5:20
9582,Spencer,,,SD,8/19/1996 22:30
9583,West Manchester,ORANGE,DISK,OH,8/20/1996 2:15
9584,Phoenix,,LIGHT,AZ,8/20/1996 20:30
9585,Owensville,,,MO,8/20/1996 23:30
9586,Osborne,,,KS,8/24/1996 1:30
9587,,,EGG,FL,8/24/1996 15:00
9588,Fort Collins,,LIGHT,CO,8/24/1996 21:00
9589,Bothell,,TRIANGLE,WA,8/28/1996 20:15
9590,Blacksburg,,SPHERE,VA,8/30/1996 19:00
9591,Coral Springs,,LIGHT,FL,9/1/1996 1:00
9592,Tuscaloosa,,DISK,AL,9/1/1996 17:00
9593,Concord,,DISK,MA,9/1/1996 18:00
9594,Ohio-Michigan border,,LIGHT,OH,9/1/1996 18:00
9595,New Holland,,,IL,9/1/1996 20:00
9596,Wattsburgh,,OTHER,PA,9/1/1996 21:00
9597,Fort Collins,,DISK,CO,9/1/1996 21:30
9598,Fort Collins,,DISK,CO,9/1/1996 21:30
9599,Wabeno,,FIREBALL,WI,9/1/1996 22:30
9600,Wise,,OVAL,VA,9/1/1996 22:30
9601,Wanaque,,FORMATION,NJ,9/2/1996 19:50
9602,Belton,,TRIANGLE,MO,9/4/1996 21:30
9603,Faith,,TRIANGLE,NC,9/5/1996 1:00
9604,Snake River,,SPHERE,ID,9/5/1996 23:00
9605,Lake Shasta,,LIGHT,CA,9/6/1996 20:00
9606,Englewood Cliffs,,CHEVRON,NJ,9/6/1996 21:00
9607,Stockton,,OTHER,CA,9/7/1996 3:00
9608,West Manchester,ORANGE,TRIANGLE,OH,9/7/1996 10:50
9609,Savannah,,DISK,GA,9/9/1996 5:30
9610,San Francisco,,OVAL,CA,9/9/1996 8:30
9611,Siloam Springs,,TRIANGLE,AR,9/10/1996 23:45
9612,Arden Hills,,LIGHT,MN,9/11/1996 22:45
9613,Victorville,,DISK,CA,9/12/1996 11:00
9614,Kennewick,,OTHER,WA,9/12/1996 15:35
9615,York,,FLASH,PA,9/13/1996 2:30
9616,Austin,,TRIANGLE,TX,9/13/1996 20:30
9617,Des Moines,BLUE,DISK,IA,9/14/1996 18:00
9618,Battle Mountain,,DISK,NV,9/14/1996 20:00
9619,Smithville,,DISK,NJ,9/14/1996 20:30
9620,Salem,GREEN,TEARDROP,OR,9/15/1996 4:00
9621,La Mesa,RED,LIGHT,CA,9/15/1996 5:00
9622,Ironton,,SPHERE,OH,9/15/1996 10:30
9623,Solomans Island,,LIGHT,MD,9/15/1996 18:00
9624,Creston,,,WA,9/15/1996 20:45
9625,Forks,,,WA,9/15/1996 21:00
9626,Woodville,,TRIANGLE,AL,9/15/1996 21:00
9627,Madrid,RED,OTHER,NY,9/15/1996 22:00
9628,Trion,,TRIANGLE,GA,9/15/1996 22:30
9629,Georgtown,,DISK,CO,9/16/1996 6:15
9630,Arlington,,OVAL,MA,9/16/1996 18:00
9631,Concord,,OVAL,MA,9/16/1996 18:00
9632,Lee's Summit,RED,TRIANGLE,MO,9/17/1996 5:00
9633,Williamstown,,FORMATION,MA,9/17/1996 22:00
9634,Ann Arbor,,FIREBALL,MI,9/18/1996 0:20
9635,Avon Lake,,VARIOUS,OH,9/19/1996 21:30
9636,Coweta,,DISK,OK,9/20/1996 17:00
9637,Maxwell,,OTHER,CA,9/21/1996 21:30
9638,Denver,,LIGHT,CO,9/22/1996 1:00
9639,Pensacola,,CIGAR,FL,9/22/1996 21:00
9640,Smithport,,,PA,9/24/1996 13:00
9641,Cowen,,DISK,WV,9/26/1996 2:39
9642,Breckenridge,RED,VARIOUS,TX,9/26/1996 20:00
9643,Kelso,,,WA,9/29/1996 22:13
9644,Traverse City,,RECTANGLE,MI,9/30/1996 22:00
9645,Lake Berryessa,BLUE,SPHERE,CA,10/1/1996 1:00
9646,West Houston,,FORMATION,TX,10/1/1996 1:00
9647,Bainbridge,,TRIANGLE,OH,10/1/1996 5:30
9648,New York City,,OVAL,NY,10/1/1996 8:00
9649,Cupertino,,SPHERE,CA,10/1/1996 17:00
9650,Safford,,SPHERE,AZ,10/1/1996 18:00
9651,The Woodlands,ORANGE,FIREBALL,TX,10/1/1996 22:30
9652,Santa Fe,,RECTANGLE,NM,10/3/1996 20:00
9653,Crestone,,LIGHT,CO,10/3/1996 20:05
9654,Derby,,LIGHT,CT,10/3/1996 21:00
9655,Kansas City,BLUE,,KS,10/6/1996 3:40
9656,Duvall,,TRIANGLE,WA,10/6/1996 13:00
9657,San Francisco,,TRIANGLE,CA,10/6/1996 13:00
9658,New York City,,TRIANGLE,NY,10/6/1996 15:00
9659,Fire Island,,OTHER,NY,10/6/1996 22:00
9660,Deming,,OTHER,NM,10/9/1996 15:30
9661,Higginsville,,TRIANGLE,MO,10/10/1996 3:20
9662,Charleston,,LIGHT,SC,10/10/1996 22:00
9663,Monroe County,,CYLINDER,OH,10/10/1996 22:30
9664,Bismarck,,FORMATION,ND,10/11/1996 16:00
9665,Damascus,,LIGHT,VA,10/11/1996 22:00
9666,Reno,,TRIANGLE,NV,10/13/1996 3:19
9667,Gainesville,,CIRCLE,FL,10/13/1996 6:00
9668,Astoria,,CIRCLE,OR,10/13/1996 15:00
9669,Odessa,ORANGE,DIAMOND,TX,10/13/1996 19:47
9670,Encino,,TRIANGLE,CA,10/13/1996 20:00
9671,Gainesville,,CIRCLE,FL,10/14/1996 3:00
9672,San Mateo,,LIGHT,CA,10/15/1996 0:45
9673,Austin,,TRIANGLE,TX,10/15/1996 3:00
9674,Cazadero,,,CA,10/15/1996 3:00
9675,Milwaukee,RED,TRIANGLE,WI,10/15/1996 15:00
9676,Delano,,OTHER,TN,10/15/1996 18:00
9677,Blaine,RED,SPHERE,OR,10/15/1996 20:30
9678,Roanoke,,,VA,10/15/1996 23:00
9679,Roanoke,RED,TRIANGLE,VA,10/15/1996 23:00
9680,Memphis,,,TN,10/18/1996 23:30
9681,Tipton,,SPHERE,IN,10/20/1996 11:18
9682,Wichita,RED,LIGHT,KS,10/20/1996 18:20
9683,Odessa,,DIAMOND,TX,10/20/1996 20:20
9684,Springfield,,TRIANGLE,OH,10/24/1996 9:18
9685,Lake Charles,,VARIOUS,LA,10/25/1996 2:00
9686,Laurel,,,MD,10/25/1996 11:08
9687,Newport Beach,,VARIOUS,CA,10/26/1996 2:00
9688,Marksville,,TRIANGLE,LA,10/26/1996 20:30
9689,Manchester,,DIAMOND,NH,10/28/1996 14:00
9690,Pittsburgh,BLUE,DISK,PA,10/30/1996 7:30
9691,Goose Creek,,CIGAR,SC,10/30/1996 16:00
9692,Rose Hill,RED,LIGHT,KS,10/30/1996 18:50
9693,Richmond,,TRIANGLE,OH,10/30/1996 19:30
9694,Kokomo,RED,,IN,10/30/1996 22:25
9695,Boerne,,,TX,10/31/1996 2:15
9696,Murfreesboro,,CIRCLE,TN,10/31/1996 9:00
9697,Rockford,,FLASH,MI,10/31/1996 22:00
9698,Wichita,,LIGHT,KS,10/31/1996 22:00
9699,Vilonia,,CYLINDER,AR,11/1/1996 12:00
9700,Merrimac,,TRIANGLE,MA,11/1/1996 19:00
9701,Chillicothe,,OTHER,OH,11/1/1996 21:00
9702,Federal Way,,CIRCLE,WA,11/1/1996 23:00
9703,Reno to Dallas,BLUE,TRIANGLE,TX,11/2/1996 2:00
9704,New Albany,,,PA,11/2/1996 5:00
9705,Longmont,,,CO,11/3/1996 18:55
9706,San Jose,,FORMATION,IL,11/6/1996 17:00
9707,Seattle,,SPHERE,WA,11/7/1996 23:30
9708,Canyonville,,DISK,OR,11/9/1996 2:00
9709,Plymouth,,TRIANGLE,IN,11/9/1996 12:00
9710,no data,,TRIANGLE,NV,11/12/1996 1:00
9711,Donnelly,,TRIANGLE,ID,11/12/1996 22:30
9712,Hesperia,,TRIANGLE,CA,11/13/1996 19:45
9713,Seminole,,TRIANGLE,FL,11/13/1996 23:30
9714,Harrisburg,,LIGHT,PA,11/13/1996 23:56
9715,Corvallis,,SPHERE,MT,11/14/1996 14:15
9716,Salem,RED,,OR,11/14/1996 18:20
9717,Hobe Sound,,FIREBALL,FL,11/14/1996 19:00
9718,Harker Heights,,LIGHT,TX,11/15/1996 10:21
9719,Lincoln,,DIAMOND,NE,11/15/1996 17:00
9720,Blossburg,,,PA,11/15/1996 20:30
9721,Lima,,LIGHT,OH,11/15/1996 20:50
9722,Albuquerque,,SPHERE,NM,11/15/1996 22:30
9723,Gorman VOR,,,CA,11/16/1996 0:00
9724,Las Vegas,,LIGHT,NV,11/16/1996 16:30
9725,Canton,,LIGHT,PA,11/16/1996 21:30
9726,Silver Spring,,TRIANGLE,MD,11/16/1996 21:30
9727,Bandy,,,NY,11/16/1996 22:00
9728,Riverside,,,NJ,11/16/1996 22:00
9729,Lake City,,,WA,11/16/1996 22:15
9730,Frostburg,,,MD,11/16/1996 23:10
9731,Jacksonville,BLUE,,FL,11/16/1996 23:10
9732,New York City,,,NY,11/16/1996 23:10
9733,Odessa,,,NY,11/16/1996 23:10
9734,Reading,BLUE,,PA,11/16/1996 23:13
9735,Greenwich,YELLOW,,CT,11/16/1996 23:14
9736,Frostburg,YELLOW GREEN,,MD,11/16/1996 23:15
9737,Greenwich,,,CT,11/16/1996 23:15
9738,Watkins Glen,GREEN,,NY,11/16/1996 23:20
9739,Mansfield,ORANGE,ROUND,PA,11/16/1996 23:23
9740,Grandview,,,MO,11/17/1996 0:00
9741,Arcadia,,,CA,11/17/1996 2:30
9742,Big Flats,,,NY,11/17/1996 4:30
9743,Las Vegas,,LIGHT,NV,11/17/1996 21:00
9744,Middleville,,,MI,11/19/1996 23:05
9745,Los Angeles,,,CA,11/20/1996 0:00
9746,Wilmington,,DIAMOND,NC,11/20/1996 0:00
9747,Surfside,,DIAMOND,TX,11/20/1996 8:00
9748,Parma,,CIRCLE,OH,11/20/1996 21:30
9749,North Port,,,FL,11/20/1996 22:30
9750,Stamping Ground,,TRIANGLE,KY,11/23/1996 2:15
9751,French Camp,,,CA,11/23/1996 19:30
9752,Stockton,,,CA,11/23/1996 20:45
9753,Kingsville,,,OH,11/23/1996 21:40
9754,Poway,,,CA,11/24/1996 4:50
9755,Bismarck,,LIGHT,ND,11/24/1996 18:07
9756,Bismarck,ORANGE,,ND,11/24/1996 19:30
9757,Miami,,LIGHT,FL,11/24/1996 21:00
9758,Monterey,,,CA,11/25/1996 20:00
9759,Arnolds Park,,TRIANGLE,IA,11/25/1996 22:15
9760,Daytona Beach,YELLOW,DISK,FL,11/26/1996 3:20
9761,Bloomsburg,ORANGE,TEARDROP,PA,11/26/1996 9:00
9762,Poteau,,TRIANGLE,OK,11/26/1996 20:25
9763,Graham County,,,NC,11/27/1996 0:00
9764,Seattle,GREEN,,WA,11/27/1996 19:30
9765,Millington,,CHEVRON,TN,11/27/1996 20:00
9766,Bellevue,,,WA,11/28/1996 21:00
9767,Wheelersburg,,LIGHT,OH,11/28/1996 22:30
9768,Los Angeles,,,CA,11/29/1996 19:05
9769,Sedona,,LIGHT,AZ,11/29/1996 21:45
9770,Outlook,,LIGHT,WA,11/30/1996 3:00
9771,La Joya,RED,DISK,TX,11/30/1996 7:00
9772,Salida,,,CO,11/30/1996 17:12
9773,Vashon Island,,,WA,11/30/1996 19:15
9774,Shreveport,,,LA,11/30/1996 21:00
9775,Kirkland,RED BLUE,,WA,11/30/1996 21:15
9776,Sedona,,LIGHT,AZ,11/30/1996 22:00
9777,Kansas City,RED,,MO,12/1/1996 19:38
9778,Seattle,,TRIANGLE,WA,12/1/1996 21:00
9779,Columbia,,LIGHT,MO,12/1/1996 22:36
9780,Wrightwood Mtn.,RED,LIGHT,CA,12/1/1996 23:30
9781,Sumner,BLUE,,IL,12/2/1996 19:00
9782,North Bend,GREEN BLUE,,WA,12/3/1996 4:00
9783,Brooksville,,,FL,12/5/1996 5:30
9784,Seattle,,,WA,12/5/1996 22:00
9785,Peebles,,LIGHT,OH,12/5/1996 23:00
9786,Fort Worth,,CIGAR,TX,12/6/1996 9:35
9787,Jonesburg,,LIGHT,MO,12/8/1996 0:05
9788,Highway 15,RED,,NV,12/9/1996 5:00
9789,Hastings,,TRIANGLE,MN,12/9/1996 23:15
9790,Memphis,,OVAL,TN,12/10/1996 12:00
9791,Newtown,,TEARDROP,CT,12/10/1996 18:30
9792,Gulf Breeze,,SPHERE,FL,12/10/1996 19:50
9793,Pensacola,YELLOW,,FL,12/10/1996 19:55
9794,Quartz Hill,,CIRCLE,CA,12/10/1996 22:15
9795,Camarillo,,LIGHT,CA,12/10/1996 22:30
9796,Birmingham,,,AL,12/11/1996 17:15
9797,Gulf Breeze,RED ORANGE,FIREBALL,FL,12/11/1996 19:55
9798,"I-10, Marker 174",,,NM,12/12/1996 2:06
9799,Upland,GREEN,FIREBALL,CA,12/12/1996 5:30
9800,Elizabeth,,VARIOUS,NJ,12/12/1996 17:10
9801,Fredericksburg,,LIGHT,TX,12/12/1996 18:00
9802,Greensboro,,LIGHT,NC,12/13/1996 3:00
9803,Simi Valley,,EGG,CA,12/13/1996 15:20
9804,Karnak,GREEN,CYLINDER,IL,12/13/1996 20:00
9805,Detroit,,,MI,12/13/1996 21:00
9806,Stroudsburg,,LIGHT,PA,12/13/1996 23:00
9807,Vashon Island,,,WA,12/14/1996 17:15
9808,West Covina,,,CA,12/14/1996 18:08
9809,Issaquah,,,WA,12/14/1996 20:20
9810,Newtown,,TEARDROP,CT,12/15/1996 18:30
9811,Bartlett,,OTHER,TN,12/15/1996 23:00
9812,Spokane,,DIAMOND,WA,12/16/1996 14:25
9813,Everett,GREEN,,WA,12/16/1996 20:10
9814,Stevens Pass,ORANGE,,WA,12/16/1996 21:00
9815,Bellingham,,EGG,WA,12/17/1996 0:30
9816,Morton,,,WA,12/17/1996 1:15
9817,Redmond,,,WA,12/17/1996 2:30
9818,Hansville,BLUE,,WA,12/17/1996 6:14
9819,Bellingham,GREEN,,WA,12/17/1996 6:15
9820,Seattle,,,WA,12/17/1996 6:15
9821,Tigard,,,OR,12/17/1996 6:15
9822,Portland,,,OR,12/17/1996 6:20
9823,Seattle,BLUE,,WA,12/17/1996 6:20
9824,Sunrise,,SPHERE,FL,12/17/1996 20:00
9825,Woodville,,TRIANGLE,TX,12/17/1996 20:17
9826,Dana Point,,LIGHT,CA,12/17/1996 21:45
9827,Eugene,,LIGHT,OR,12/18/1996 4:30
9828,Salinas,GREEN,,CA,12/18/1996 4:45
9829,The Woodlands,YELLOW,LIGHT,TX,12/18/1996 22:00
9830,Winchester,,TRIANGLE,TN,12/19/1996 16:30
9831,Seattle,,,WA,12/19/1996 22:45
9832,Centralia,RED,,WA,12/20/1996 3:26
9833,New Castle,RED,CYLINDER,PA,12/20/1996 13:00
9834,Poulsbo,,,WA,12/21/1996 0:00
9835,Reno,,,NV,12/22/1996 1:45
9836,Reno,,OTHER,NV,12/22/1996 1:45
9837,Parma,,OTHER,OH,12/22/1996 12:30
9838,Harrisburg,,TRIANGLE,PA,12/24/1996 10:30
9839,Little Rock,,LIGHT,AR,12/24/1996 23:15
9840,Fresno,,LIGHT,CA,12/25/1996 2:35
9841,Seward,GREEN,LIGHT,AK,12/25/1996 22:00
9842,Fontana,,,CA,12/26/1996 22:40
9843,Hurst,ORANGE,LIGHT,TX,12/28/1996 1:00
9844,Rockford,,TRIANGLE,IL,12/28/1996 1:00
9845,Highway 37,,,CA,12/28/1996 20:15
9846,Hartsburg,BLUE,,MO,12/29/1996 19:00
9847,Bastrop,,LIGHT,LA,12/29/1996 20:00
9848,Elkins,,,WV,12/30/1996 2:30
9849,Tucson,,DISK,AZ,12/31/1996 18:30
9850,Gardner,,CIRCLE,MA,12/31/1996 20:00
9851,Tulsa,RED BLUE,CIGAR,OK,12/31/1996 20:00
9852,Chilhowie,,CROSS,VA,1/1/1997 0:00
9853,Chanute,,CIRCLE,KS,1/1/1997 7:00
9854,Jamestown,,VARIOUS,ND,1/1/1997 7:00
9855,Arrayo Grande,,OVAL,CA,1/1/1997 13:00
9856,Johnston,,RECTANGLE,RI,1/1/1997 15:30
9857,Phoenix,,CHEVRON,AZ,1/1/1997 19:30
9858,Clatonia,,,NE,1/1/1997 20:30
9859,Cayce,,,SC,1/1/1997 21:00
9860,Tom Sauk Moutain,,LIGHT,MO,1/1/1997 23:00
9861,Austin,,LIGHT,TX,1/2/1997 19:15
9862,Long Beach,,LIGHT,WA,1/3/1997 3:00
9863,Steinhatchee,RED,CIGAR,FL,1/4/1997 21:00
9864,Santa Rosa,,DISK,CA,1/4/1997 21:32
9865,Haleiwa,,TRIANGLE,HI,1/5/1997 1:10
9866,Amelia,,LIGHT,OH,1/7/1997 0:35
9867,Don't Know,,TEARDROP,NV,1/7/1997 21:30
9868,Brooklyn,,DISK,CT,1/8/1997 17:20
9869,South Attleboro,BLUE,DISK,MA,1/8/1997 17:22
9870,Eden,,LIGHT,NY,1/8/1997 19:00
9871,Columbus,,TRIANGLE,OH,1/10/1997 22:00
9872,St. Cloud,GREEN,PYRAMID,MN,1/11/1997 5:00
9873,Carrollton,,CIRCLE,TX,1/11/1997 22:00
9874,Billings,RED,LIGHT,MT,1/12/1997 23:00
9875,Lombard,,FIREBALL,IL,1/13/1997 17:30
9876,McKinlyville,,DISK,CA,1/14/1997 16:00
9877,Columbia,,LIGHT,SC,1/15/1997 0:30
9878,Mankato,,SPHERE,MN,1/15/1997 1:15
9879,Calabash,,OVAL,NC,1/15/1997 4:30
9880,Macon,,DISK,GA,1/15/1997 7:00
9881,Circleville,,DISK,OH,1/15/1997 11:30
9882,Pico Rivera,,OVAL,CA,1/15/1997 15:00
9883,Long Beach,,EGG,NY,1/15/1997 17:30
9884,Millsboro,,TRIANGLE,DE,1/15/1997 18:00
9885,Alturas,,DISK,CA,1/15/1997 18:30
9886,Ellensburg,,FIREBALL,WA,1/15/1997 23:00
9887,Seguin,,FIREBALL,TX,1/16/1997 6:30
9888,Moab,YELLOW GREEN,OTHER,UT,1/16/1997 18:00
9889,Babson Park,,DIAMOND,FL,1/18/1997 22:00
9890,Las Vegas,,SPHERE,NV,1/18/1997 22:00
9891,Blackwell,RED,TRIANGLE,OK,1/21/1997 19:15
9892,Altus AFB,,VARIOUS,OK,1/22/1997 3:35
9893,North Kingstown,,TRIANGLE,RI,1/23/1997 18:30
9894,Alta,,OTHER,UT,1/24/1997 19:00
9895,Marion,,TRIANGLE,WI,1/25/1997 21:00
9896,Flagstaff,,LIGHT,AZ,1/26/1997 22:00
9897,East Greenwich,,DISK,RI,1/29/1997 23:15
9898,Alto,,TRIANGLE,MI,2/1/1997 6:35
9899,Yucca Valley,,OTHER,CA,2/1/1997 9:30
9900,Unincorporated,,RECTANGLE,AZ,2/1/1997 13:00
9901,Winter Springs,,CONE,FL,2/1/1997 21:00
9902,Elizabeth,,SPHERE,NJ,2/1/1997 23:00
9903,Thackery,,,OH,2/2/1997 8:25
9904,Virden,,DISK,IL,2/3/1997 20:00
9905,Albuquerque,,FLASH,NM,2/5/1997 22:00
9906,Grove City,,,PA,2/6/1997 3:15
9907,Mesa,,TRIANGLE,AZ,2/6/1997 16:45
9908,Mesa,,TRIANGLE,AZ,2/6/1997 16:45
9909,Stacy,,,MN,2/8/1997 18:00
9910,Seattle,,OVAL,WA,2/9/1997 13:45
9911,Los Angeles,,TRIANGLE,CA,2/10/1997 0:10
9912,Brentwood,,LIGHT,TN,2/10/1997 18:00
9913,Phoenix,,CIGAR,AZ,2/11/1997 11:00
9914,San Antonio,,TRIANGLE,TX,2/12/1997 18:20
9915,Lakewood,,TEARDROP,CO,2/13/1997 7:00
9916,Las Vegas,,FORMATION,NV,2/14/1997 18:00
9917,Ormond Beach,,CHEVRON,FL,2/14/1997 20:00
9918,La Puente,,OTHER,CA,2/15/1997 3:00
9919,North Adams,,DIAMOND,MA,2/15/1997 13:00
9920,Prescott Valley,,OTHER,AZ,2/15/1997 20:00
9921,Harrisonburg,,FIREBALL,VA,2/15/1997 21:30
9922,Hudson,,,WI,2/15/1997 22:30
9923,Blairsville,,LIGHT,PA,2/15/1997 23:35
9924,Randolph,,CIRCLE,NY,2/16/1997 3:00
9925,Pittsburgh,,OTHER,PA,2/17/1997 0:47
9926,Waseca,,OTHER,MN,2/17/1997 22:15
9927,Guadelupe,,,AZ,2/19/1997 20:15
9928,Weston,,OTHER,MO,2/22/1997 14:21
9929,Crystal Lake,ORANGE,SPHERE,IL,2/25/1997 2:00
9930,Boiling Springs,,,PA,2/25/1997 14:20
9931,New Florence,,LIGHT,PA,2/25/1997 20:00
9932,Mobile,BLUE,OVAL,AL,2/26/1997 20:00
9933,North Beach,,OTHER,MD,2/27/1997 20:00
9934,St. David,,OVAL,AZ,2/28/1997 16:00
9935,Mesa,YELLOW,TRIANGLE,AZ,2/28/1997 23:00
9936,Dorchester,,,MA,3/1/1997 4:00
9937,Clinton,,CIRCLE,UT,3/1/1997 5:00
9938,Commerce City,,SPHERE,CO,3/1/1997 12:30
9939,Riverside,,TRIANGLE,CA,3/1/1997 21:00
9940,Louisville,ORANGE,FIREBALL,KY,3/1/1997 21:20
9941,Prairie du Sac,,CROSS,WI,3/2/1997 19:00
9942,Hemet,,TRIANGLE,CA,3/2/1997 21:00
9943,Dublin,,TRIANGLE,OH,3/3/1997 2:00
9944,Sullivan,,LIGHT,MO,3/3/1997 18:30
9945,Las Vegas,,LIGHT,NV,3/5/1997 0:00
9946,Phoenix,,CHEVRON,AZ,3/5/1997 14:00
9947,San Francisco,,OVAL,CA,3/5/1997 18:10
9948,Rohnert Park,,SPHERE,CA,3/6/1997 1:00
9949,Virginia Beach,YELLOW,LIGHT,VA,3/6/1997 22:00
9950,Las Vegas,,,NV,3/6/1997 23:00
9951,Tacoma,,DISK,WA,3/7/1997 19:00
9952,Monrovia,,DISK,CA,3/7/1997 22:00
9953,Seattle,BLUE,FLASH,WA,3/7/1997 22:50
9954,East Detroit,,DISK,MI,3/8/1997 19:00
9955,Arizona,,TRIANGLE,AZ,3/9/1997 1:00
9956,Alpharetta,,TRIANGLE,GA,3/10/1997 10:30
9957,Virginia Beach,,SPHERE,VA,3/10/1997 12:30
9958,New York City,,LIGHT,NY,3/10/1997 19:30
9959,Naples,,,FL,3/10/1997 21:00
9960,Las Vegas,,LIGHT,NV,3/10/1997 22:00
9961,Charleston,,SPHERE,WV,3/11/1997 18:30
9962,Holloman AFB,,,NM,3/12/1997 6:30
9963,Phoenix,,LIGHT,AZ,3/12/1997 8:00
9964,New Orleans,,OTHER,LA,3/12/1997 9:00
9965,Norfolk,,CHEVRON,VA,3/12/1997 20:09
9966,Terre Haute,,TRIANGLE,IN,3/12/1997 20:30
9967,Las Vegas,,CHEVRON,NV,3/12/1997 20:40
9968,Glendale,,LIGHT,AZ,3/12/1997 21:50
9969,Death Valley,,TRIANGLE,NV,3/12/1997 22:20
9970,Brentwood,,FORMATION,CA,3/12/1997 23:00
9971,Santa Fe,,OTHER,NM,3/12/1997 23:00
9972,Douglas,,TRIANGLE,AZ,3/13/1997 0:00
9973,Las Vegas,,,NV,3/13/1997 0:00
9974,Phoenix,,OTHER,AZ,3/13/1997 0:00
9975,Scottsdale,,TRIANGLE,AZ,3/13/1997 0:00
9976,Salt Lake City,,OTHER,UT,3/13/1997 5:30
9977,Casa Grande,,CIRCLE,AZ,3/13/1997 8:00
9978,Newfoundland,,OVAL,NJ,3/13/1997 10:30
9979,Seattle,,SPHERE,WA,3/13/1997 13:30
9980,Lubbock,,TRIANGLE,TX,3/13/1997 17:00
9981,Prescott,,FORMATION,AZ,3/13/1997 18:00
9982,New Braunfels,,TRIANGLE,TX,3/13/1997 18:30
9983,Phoenix,,CHEVRON,AZ,3/13/1997 18:40
9984,Phoenix,,TRIANGLE,AZ,3/13/1997 19:00
9985,Scottsdale,,TRIANGLE,AZ,3/13/1997 19:00
9986,Gila Bend,ORANGE,LIGHT,AZ,3/13/1997 19:45
9987,Stanfield,,TRIANGLE,AZ,3/13/1997 19:45
9988,East Mesa,,LIGHT,AZ,3/13/1997 20:00
9989,Glendale,,DIAMOND,AZ,3/13/1997 20:00
9990,Kingman,ORANGE,FORMATION,AZ,3/13/1997 20:00
9991,Phoenix,,CHEVRON,AZ,3/13/1997 20:00
9992,Phoenix,,CHEVRON,AZ,3/13/1997 20:00
9993,Phoenix,,CIRCLE,AZ,3/13/1997 20:00
9994,Phoenix,,OTHER,AZ,3/13/1997 20:00
9995,Phoenix,,TRIANGLE,AZ,3/13/1997 20:00
9996,Phoenix,,TRIANGLE,AZ,3/13/1997 20:00
9997,Phoenix,,TRIANGLE,AZ,3/13/1997 20:00
9998,Phoenix,,,AZ,3/13/1997 20:05
9999,Tempe,,OTHER,AZ,3/13/1997 20:10
10000,Prescott,RED,FORMATION,AZ,3/13/1997 20:12
10001,Black Canyon City,,CHEVRON,AZ,3/13/1997 20:15
10002,Phoenix,,LIGHT,AZ,3/13/1997 20:15
10003,Phoenix,ORANGE,LIGHT,AZ,3/13/1997 20:15
10004,Phoenix,RED,TRIANGLE,AZ,3/13/1997 20:15
10005,Prescott,,FORMATION,AZ,3/13/1997 20:15
10006,Prescott,YELLOW,FORMATION,AZ,3/13/1997 20:15
10007,Scottsdale,,TRIANGLE,AZ,3/13/1997 20:15
10008,Northwest Tempe,RED,FORMATION,AZ,3/13/1997 20:20
10009,Phoenix,,,AZ,3/13/1997 20:20
10010,Phoenix,,TRIANGLE,AZ,3/13/1997 20:20
10011,Buckeye,,SPHERE,AZ,3/13/1997 20:25
10012,Glendale,,,AZ,3/13/1997 20:25
10013,Cass City,,TRIANGLE,MI,3/13/1997 20:30
10014,Chandler,,,AZ,3/13/1997 20:30
10015,Chandler,,TRIANGLE,AZ,3/13/1997 20:30
10016,Chino Valley,,FORMATION,AZ,3/13/1997 20:30
10017,Gila Bend,,CHEVRON,AZ,3/13/1997 20:30
10018,Goodyear,,,AZ,3/13/1997 20:30
10019,Mt. Springs,,OTHER,TX,3/13/1997 20:30
10020,Phoenix,,,AZ,3/13/1997 20:30
10021,Phoenix,,CHEVRON,AZ,3/13/1997 20:30
10022,Phoenix,ORANGE,FORMATION,AZ,3/13/1997 20:30
10023,Phoenix,,TRIANGLE,AZ,3/13/1997 20:30
10024,Phoenix,,TRIANGLE,AZ,3/13/1997 20:30
10025,Tempe,,FORMATION,AZ,3/13/1997 20:30
10026,Tempe,,LIGHT,AZ,3/13/1997 20:30
10027,Libby,,LIGHT,MT,3/13/1997 20:35
10028,Mesa,,TRIANGLE,AZ,3/13/1997 20:40
10029,Phoenix,,FORMATION,AZ,3/13/1997 20:40
10030,Phoenix,,TRIANGLE,AZ,3/13/1997 20:45
