city,country,2017,2018,2019,2020,2021,2022,2023
Pabianice,Poland,0,0,0,21.5,29.2,24.3,23.0
Piastow,Poland,24.4,19.5,19.2,17.8,18.0,14.7,14.7
Pila,Poland,0,0,0,9.9,12.1,13.3,13.8
Pinczow,Poland,0,0,0,0,0,19.5,19.9
Piotrkow Trybunalski,Poland,0,0,0,18.6,17.3,15.7,15.2
Ponik,Poland,17.2,17.7,12.8,15.2,17.8,15.0,15.1
Poznan,Poland,21.9,22.0,20.4,15.6,19.2,16.8,16.8
Przemysl,Poland,25.7,23.1,20.9,18.0,14.6,10.8,10.9
Rabka-Zdroj,Poland,0,0,0,0,11.7,13.7,14.4
Raciborz,Poland,0,0,24.5,24.9,27.4,22.1,22.3
Radom,Poland,25.9,27.1,18.7,19.5,19.6,14.8,14.8
Radomsko,Poland,0,0,0,20.8,23.7,21.1,21.0
Radzyn Podlaski,Poland,0,0,0,0,10.6,12.7,12.6
Rudnik nad Sanem,Poland,0,0,0,0,0,16.1,17.3
Rybnik,Poland,0,0,0,18.7,20.9,16.3,17.0
Rymanow-Zdroj,Poland,18.2,14.6,15.8,11.7,10.4,9.0,9.1
Rzeszow,Poland,0,0,19.8,17.0,21.8,18.0,17.2
Siedlce,Poland,22.2,22.0,16.3,15.7,14.8,15.5,15.7
Sieniawa Zarska,Poland,0,0,14.6,13.3,13.9,9.7,9.8
Sierpc,Poland,0,0,0,0,22.7,17.4,17.9
Solec Kujawski,Poland,0,0,0,0,18.1,17.6,18.1
Sopot,Poland,0,0,0,0,12.7,14.1,14.0
Sosnowiec,Poland,0,0,0,17.3,19.9,16.7,17.1
Starachowice,Poland,0,0,19.1,18.0,21.5,17.9,18.1
Sucha Beskidzka,Poland,0,0,0,17.4,20.4,17.7,18.7
Suwalki,Poland,0,0,12.6,11.1,13.7,11.0,11.0
Swiebodzice,Poland,0,21.8,13.5,0,6.3,8.5,8.2
Szamotuly,Poland,0,0,0,0,19.8,18.1,18.2
Szczecin,Poland,19.2,18.6,15.6,13.0,13.4,12.6,12.6
Szczecinek,Poland,0,0,0,12.4,13.7,13.7,14.0
Szczytno,Poland,0,0,0,0,0,15.1,15.7
Tarnobrzeg,Poland,0,0,0,0,17.5,16.1,16.4
Tarnow,Poland,27.4,23.3,22.5,20.3,21.4,17.4,17.5
Torun,Poland,19.3,19.4,19.1,14.5,19.2,16.8,16.8
Trzebnica,Poland,0,0,0,0,12.6,14.7,14.8
Tychy,Poland,0,0,0,15.8,20.2,15.6,16.8
Ursus,Poland,0,0,17.9,17.0,16.8,14.8,14.7
Ustron,Poland,0,0,0,8.8,10.4,9.7,9.9
Walbrzych,Poland,0,0,0,12.2,13.4,15.6,16.2
Warsaw,Poland,26.7,24.2,17.3,16.7,18.2,15.3,15.3
Warszawa,Poland,0,0,0,0,0,18.4,19.4
Wawer,Poland,0,0,17.3,18.1,18.0,15.1,15.0
Wloclawek,Poland,0,0,22.8,17.0,20.0,16.5,16.5
Wroclaw,Poland,21.9,22.9,18.7,17.1,19.9,18.7,18.6
Zabierzow,Poland,0,0,0,0,21.2,21.5,22.0
Zamosc,Poland,0,0,0,12.6,18.2,14.0,14.2
Zawiercie,Poland,0,0,0,0,17.7,17.6,18.2
Zdzieszowice,Poland,0,0,0,0,21.5,19.8,20.5
Zgierz,Poland,19.2,21.9,27.0,24.5,20.7,15.3,13.8
Zielona Gora,Poland,15.3,16.9,13.8,10.6,11.7,10.8,10.7
Zyrardow,Poland,23.8,26.6,17.8,16.7,20.2,17.0,17.1
Agueda,Portugal,0,0,0,0,18.8,20.9,21.1
Alandroal,Portugal,13.3,7.1,5.3,4.8,4.9,6.4,6.5
Alcoutim,Portugal,7.9,8.5,7.7,5.7,2.7,3.3,3.6
Almada,Portugal,14.8,13.5,9.6,9.0,8.1,6.9,6.9
Faro,Portugal,9.8,8.5,10.5,7.5,3.7,3.8,3.8
Funchal,Portugal,5.6,5.2,6.0,5.9,5.2,6.3,6.3
Fundao,Portugal,0,0,4.4,4.2,8.5,5.7,5.6
Leiria,Portugal,0,0,9.7,8.6,8.7,9.3,9.4
Lisbon,Portugal,14.1,11.7,9.4,9.1,8.2,7.5,7.5
Melgaço,Portugal,0,0,4.5,5.9,7.0,7.1,7.0
Nazare,Portugal,0,0,0,0,0,10.5,10.6
Oliveirinha,Portugal,0,0,7.5,0,11.7,8.7,8.8
Palmela,Portugal,13.5,9.3,11.0,7.5,5.4,6.3,6.3
Santana,Portugal,5.8,3.4,4.2,4.7,3.7,3.8,3.8
Santiago do Cacem,Portugal,0,10.2,5.4,5.5,5.0,6.4,6.4
Seixal,Portugal,0,0,0,9.7,9.2,7.6,7.9
Sines,Portugal,4.9,5.9,6.8,6.2,6.8,9.4,10.4
Sintra,Portugal,0,0,7.9,8.8,8.7,9.0,9.0
Tavira,Portugal,0,0,0,0,0,9.6,9.7
Arecibo,Puerto Rico,0,0,0,0,5.1,1.4,1.4
Bayamon,Puerto Rico,0,0,0,0,4.9,7.3,7.3
Caguas,Puerto Rico,0,0,0,0,4.6,2.4,2.3
Camuy,Puerto Rico,0,0,4.1,3.7,4.3,2.9,2.8
Catano,Puerto Rico,0,12.8,11.9,0,18.1,8.7,8.2
Guayanilla,Puerto Rico,0,0,0,0,5.4,3.3,3.3
Mayagueez,Puerto Rico,0,0,0,0,10.0,8.8,8.2
San German,Puerto Rico,0,0,3.7,3.7,4.1,2.8,2.7
San Juan,Puerto Rico,0,0,0,0,4.8,3.3,3.2
Ash Shihaniyah,Qatar,0,0,0,0,0,48.8,46.8
Doha,Qatar,0,0,0,44.3,38.2,41.8,41.6
Arad,Romania,0,0,0,0,16.3,12.3,13.0
Aroneanu,Romania,0,0,0,0,0,11.0,11.3
Brasov,Romania,0,21.3,18.0,18.3,17.3,16.4,17.5
Bucharest,Romania,0,20.3,18.4,15.5,14.9,17.1,17.1
Bucuresti,Romania,0,0,0,0,0,19.2,19.1
Caciulati,Romania,0,0,0,0,15.4,13.2,13.3
Cluj-Napoca,Romania,0,21.4,15.7,13.1,20.1,26.4,26.4
Constanta,Romania,0,0,0,0,12.1,11.3,10.9
Craiova,Romania,0,0,0,0,21.0,18.4,18.5
Drobeta-Turnu Severin,Romania,0,0,0,12.7,20.0,12.7,12.5
Galati,Romania,0,0,0,0,7.0,8.5,9.3
Holboca,Romania,0,0,0,0,0,13.1,13.5
Iasi,Romania,0,27.0,22.4,0,20.6,17.3,17.3
Magurele,Romania,0,18.9,15.7,0,15.5,16.5,16.6
Miercurea-Ciuc,Romania,0,0,0,0,0,17.3,17.5
Modelu,Romania,0,0,0,20.1,21.0,20.5,21.8
Mogosoaia,Romania,0,0,0,0,0,19.1,19.0
Ojdula,Romania,0,0,0,0,30.3,28.1,28.7
Otopeni,Romania,0,0,0,0,25.8,19.0,19.0
Popesti-Leordeni,Romania,0,0,0,0,0,19.7,20.1
Popricani,Romania,0,0,0,0,31.0,23.2,23.4
Radauti,Romania,0,0,0,0,20.3,17.7,17.8
Santana de Mures,Romania,0,0,0,0,28.3,29.7,30.5
Satu Mare,Romania,0,0,0,0,15.3,12.3,13.2
Scheia,Romania,0,0,0,15.0,15.3,11.4,11.9
Sibiu,Romania,0,0,0,0,9.7,12.4,13.8
Slatina,Romania,0,0,0,0,14.1,14.9,15.3
Targu-Mures,Romania,0,0,0,15.1,22.3,22.9,24.1
Timisoara,Romania,0,0,0,0,14.3,13.9,13.8
Chelyabinsk,Russia,0,0,0,0,6.1,4.3,4.1
Fairbanks,Russia,0,0,0,0,0,13.1,12.8
Gelendzhik,Russia,0,0,11.0,8.1,8.4,8.2,8.5
Kamensk-Shakhtinskiy,Russia,0,0,0,16.0,15.8,13.4,13.4
Krasnodar,Russia,0,0,0,0,7.1,6.2,6.2
Krasnoyarsk,Russia,16.4,23.1,17.7,14.7,49.8,51.7,52.1
Magnitogorsk,Russia,0,0,0,13.7,10.2,10.2,10.2
Moscow,Russia,8.4,10.1,10.0,10.5,11.9,10.8,10.8
Nadym,Russia,0,0,0,0,7.7,6.2,6.2
Saint Petersburg,Russia,0,0,7.6,6.4,7.6,8.4,8.4
Saransk,Russia,0,9.6,9.4,6.5,3.1,5.2,5.2
Serpukhov,Russia,0,0,0,0,0,10.1,9.7
Sochi,Russia,0,0,0,0,0,9.2,9.1
Sterlitamak,Russia,0,0,0,0,10.5,12.3,12.1
Tol'yatti,Russia,0,0,10.4,9.5,13.0,9.9,10.1
Turochak,Russia,0,0,0,0,20.7,14.2,14.3
Vladivostok,Russia,16.2,13.5,12.6,3.6,3.4,3.6,3.2
Kigali,Rwanda,0,0,0,0,43.1,44.0,43.1
Dhahran,Saudi Arabia,0,0,0,36.6,33.0,62.8,61.7
Ghran,Saudi Arabia,0,0,19.9,0,22.4,21.1,21.4
Jeddah,Saudi Arabia,0,0,0,0,33.0,32.5,31.8
Riyadh,Saudi Arabia,0,0,22.1,23.3,32.5,46.2,46.5
Dakar,Senegal,0,0,0,0,14.6,20.4,18.4
Belgrade,Serbia,24.5,23.9,23.3,24.3,23.4,22.1,22.0
Beocin,Serbia,0,0,24.0,0,16.3,16.0,15.7
Bor,Serbia,0,0,18.1,16.1,14.6,12.5,12.6
Cacak,Serbia,0,0,0,30.3,41.5,35.7,35.8
Gornji Milanovac,Serbia,0,0,0,0,32.5,39.5,35.1
Grabovac,Serbia,0,0,0,0,23.0,23.8,23.8
Kosjeric,Serbia,0,0,28.8,36.7,35.5,28.6,28.8
Kragujevac,Serbia,0,0,24.7,29.8,25.0,25.2,25.2
Lazarevac,Serbia,0,0,0,0,24.6,32.2,32.4
Nis,Serbia,0,0,32.4,32.0,29.0,31.9,32.0
Novi Beograd,Serbia,0,0,0,0,19.0,22.4,22.4
Novi Pazar,Serbia,0,0,0,0,46.6,41.7,41.2
Novi Sad,Serbia,0,0,26.9,22.2,24.0,22.4,22.3
Obrenovac,Serbia,0,0,9.7,8.4,22.3,22.5,22.5
Pancevo,Serbia,0,0,0,24.5,20.9,19.3,19.5
Paracin,Serbia,0,0,0,0,0,21.8,21.6
Prokuplje,Serbia,0,0,0,0,0,26.7,26.7
Savski Venac,Serbia,0,0,0,0,18.8,20.0,19.9
Smederevo,Serbia,0,0,24.5,28.3,28.2,23.0,23.0
Stepojevac,Serbia,0,0,0,0,30.2,28.3,28.3
Uzice,Serbia,0,0,0,31.7,32.1,40.0,38.4
Valjevo,Serbia,0,0,37.9,41.5,34.7,31.8,32.3
Vranje,Serbia,0,0,0,0,0,32.5,36.0
Zemun,Serbia,0,0,0,0,26.4,27.7,27.5
Zvezdara,Serbia,0,0,0,0,22.2,23.5,23.3
Singapore,Singapore,13.3,14.8,19.0,11.8,13.8,13.3,13.3
Banska Bystrica,Slovakia,19.7,17.6,15.3,15.8,16.5,12.3,12.3
Bardejov,Slovakia,0,0,0,0,15.6,14.8,14.7
Bratislava,Slovakia,14.9,17.2,13.6,14.2,13.8,13.4,13.4
Galanta,Slovakia,0,0,0,0,15.6,12.0,11.9
Hnusta,Slovakia,19.0,18.9,16.2,14.0,16.0,14.4,14.5
Jelsava,Slovakia,26.7,24.3,21.4,19.0,23.7,21.3,21.3
Kosice,Slovakia,21.2,17.6,19.4,17.0,19.2,17.1,17.1
Martin,Slovakia,22.1,18.0,16.1,15.7,20.6,17.3,17.4
Moldava nad Bodvou,Slovakia,0,0,21.1,18.6,20.7,21.0,21.0
Nitra,Slovakia,17.0,17.6,15.1,14.1,15.1,10.1,10.3
Pezinok,Slovakia,0,0,0,0,10.3,12.9,12.9
Presov,Slovakia,24.3,20.2,18.3,16.1,18.6,17.1,17.0
Ruzomberok,Slovakia,24.4,20.7,18.5,19.6,18.3,17.3,17.0
Stupava,Slovakia,0,0,0,0,23.8,16.3,15.8
Topolcany,Slovakia,0,0,0,0,0,12.4,12.0
Trebisov,Slovakia,0,0,0,0,17.0,16.1,16.0
Trencin,Slovakia,13.2,19.8,17.9,15.6,15.1,14.1,14.0
Trnava,Slovakia,16.8,20.5,16.7,16.3,15.8,13.4,13.5
Vranov nad Toplou,Slovakia,19.7,18.7,16.2,14.4,16.6,15.1,14.5
Zarnovica,Slovakia,0,0,0,0,19.3,19.6,19.7
Borovnica,Slovenia,0,0,0,0,0,13.9,13.7
Celje,Slovenia,0,0,0,0,18.4,17.1,17.1
Hrastnik,Slovenia,0,0,0,0,16.1,13.8,13.4
Koper,Slovenia,0,0,0,0,10.8,13.7,13.2
Kranj,Slovenia,0,0,0,0,7.6,12.85,12.65
Ljubljana,Slovenia,0,0,0,0,18.8,16.2,16.1
Maribor,Slovenia,0,0,0,0,14.4,13.8,13.4
Murska Sobota,Slovenia,0,0,0,0,20.3,20.1,20.1
Nova Gorica,Slovenia,0,0,0,0,0,15.9,15.4
Novo Mesto,Slovenia,0,0,0,0,0,17.6,17.6
Ptuj,Slovenia,0,0,0,0,18.3,16.2,16.1
Rakican,Slovenia,0,0,0,0,20.5,18.8,18.0
Solkan,Slovenia,0,0,0,0,0,11.4,11.8
Trbovlje,Slovenia,0,0,0,0,18.4,16.4,15.8
Trnovlje pri Celju,Slovenia,0,0,0,0,21.0,19.4,18.8
Zagorje,Slovenia,0,0,0,0,19.4,17.6,17.0
Bethlehem,South Africa,0,0,12.4,13.4,14.0,13.7,12.7
Bloemfontein,South Africa,0,0,42.3,17.2,42.2,16.2,16.3
Cape Town,South Africa,0,0,11.2,8.0,7.6,6.7,6.7
Durban,South Africa,0,0,0,0,16.3,17.1,17.0
Edenvale,South Africa,0,0,0,0,30.7,27.3,27.4
Ekurhuleni,South Africa,0,0,0,0,33.8,32.0,33.0
Emalahleni,South Africa,0,0,0,0,0,24.3,24.5
Ga-Rankuwa,South Africa,0,0,0,22.5,21.9,25.2,24.8
Grabouw,South Africa,0,0,0,0,8.9,2.6,2.4
Hartbeespoort,South Africa,0,0,60.0,20.8,17.0,16.3,16.3
Hendrina,South Africa,0,0,21.2,13.5,12.7,9.7,9.6
Howick,South Africa,0,0,0,0,18.8,15.4,15.5
Johannesburg,South Africa,0,0,25.3,22.3,27.3,21.7,21.8
Knysna,South Africa,0,0,0,0,6.1,5.2,5.2
KwaMbonambi,South Africa,0,0,0,0,13.0,12.2,12.1
Middelburg,South Africa,0,0,26.6,19.8,16.2,18.2,17.7
Mokopane,South Africa,0,0,16.2,10.5,12.8,11.1,11.0
Nieuwoudtville,South Africa,0,0,0,0,3.9,3.4,3.6
Oudtshoorn,South Africa,0,0,0,0,0,0.8,0.8
Pietermaritzburg,South Africa,0,0,0,0,11.9,15.4,15.5
Port Elizabeth,South Africa,0,0,10.6,9.0,10.5,9.3,8.8
Pretoria,South Africa,0,0,25.5,24.4,21.6,21.7,21.4
Secunda,South Africa,0,0,27.3,21.8,17.5,14.4,13.9
Standerton,South Africa,0,0,27.2,18.0,21.2,22.9,22.8
Thabazimbi,South Africa,0,0,19.4,14.7,26.6,42.2,42.4
Vereeniging,South Africa,0,0,30.0,26.5,26.6,24.7,24.7
eMbalenhle,South Africa,0,0,30.0,15.6,17.1,17.4,17.3
eMkhomazi,South Africa,0,0,0,0,20.4,22.6,23.3
Ansan,South Korea,26.2,24.2,24.0,19.9,19.8,17.8,17.8
Anseong,South Korea,29.8,30.4,31.6,0,20.2,22.3,22.3
Anyang,South Korea,23.7,27.1,25.4,21.9,19.7,19.8,19.9
Asan,South Korea,26.8,26.0,31.0,25.1,27.4,28.3,28.3
Bonghwa,South Korea,0,0,0,0,0,12.1,11.7
Boryeong,South Korea,0,0,25.0,0,22.6,22.3,22.4
Bucheon,South Korea,25.6,27.3,30.8,20.9,21.9,17.4,17.5
Busan,South Korea,0,0,21.0,16.7,15.6,15.3,15.3
Buyeo,South Korea,0,0,25.7,0,22.7,18.7,18.9
Cheonan,South Korea,27.7,25.4,29.4,23.9,28.1,30.3,30.4
Cheongsong,South Korea,0,0,0,0,0,12.9,12.6
Cheongyang,South Korea,0,0,29.5,0,19.3,19.0,19.3
Cherwon,South Korea,0,0,0,0,0,15.7,15.6
Chilgok,South Korea,0,0,23.4,18.1,18.8,16.9,16.8
Chuncheon,South Korea,24.2,21.3,22.5,0,16.5,15.1,15.1
Daegu,South Korea,0,0,22.1,19.8,17.8,16.7,16.7
Daejeon,South Korea,0,0,21.8,16.9,15.6,15.8,15.9
Dangjin,South Korea,24.6,25.7,31.7,0,22.0,20.8,20.9
Dongducheon,South Korea,32.5,25.6,27.6,0,15.6,15.9,15.9
Donghae,South Korea,20.1,19.2,19.9,0,14.7,14.3,14.2
Gangneung,South Korea,24.6,19.8,19.5,0,11.0,13.8,13.8
Gapyeong,South Korea,22.1,23.0,22.4,0,16.2,17.8,17.8
Geumsan,South Korea,0,0,24.5,21.1,18.5,17.7,17.8
Gimcheon,South Korea,25.8,24.8,25.3,17.8,16.9,14.7,14.7
Gimhae,South Korea,19.8,20.2,20.8,16.9,15.1,15.3,14.9
Gimpo,South Korea,28.4,24.0,26.6,20.9,22.4,20.1,20.2
Gongju,South Korea,0,0,26.6,0,19.3,20.1,20.4
Goseong,South Korea,0,0,0,0,13.5,12.8,12.9
Goyang,South Korea,26.7,25.2,24.9,20.2,20.7,19.1,19.1
Gumi,South Korea,22.9,25.2,20.3,18.5,17.7,16.3,16.3
Gunpo,South Korea,27.2,26.6,25.5,0,19.9,18.3,18.3
Gunsan,South Korea,24.9,25.6,27.0,20.3,19.6,19.7,19.8
Guri,South Korea,29.6,24.3,26.6,19.8,19.2,18.4,18.4
Gwacheon,South Korea,24.2,23.2,26.1,21.5,18.9,18.8,18.8
Gwangju,South Korea,29.6,27.8,26.25,17.8,19.5,20.5,20.55
Gwangmyeong,South Korea,27.1,25.2,26.9,0,21.3,20.2,20.2
Gyeongju,South Korea,0,0,21.2,16.7,15.9,15.1,15.0
Gyeongsan,South Korea,24.9,25.4,25.0,21.0,19.4,16.7,16.5
Gyeryong,South Korea,0,0,22.8,0,16.6,16.8,17.3
Hanam,South Korea,25.5,22.1,24.3,0,15.9,16.8,16.9
Hoengseong,South Korea,0,0,24.9,0,17.0,18.9,18.8
Hongcheon,South Korea,0,0,0,0,0,17.2,17.5
Hongseong,South Korea,0,0,28.6,0,20.2,19.4,19.7
Hwacheon,South Korea,0,0,0,0,15.3,16.5,16.4
Hwaseong,South Korea,25.4,26.7,29.1,22.5,21.8,21.0,21.0
Hwasun,South Korea,0,0,0,0,17.3,19.4,19.5
Icheon,South Korea,28.6,29.4,29.9,0,21.5,24.3,24.3
Incheon,South Korea,0,0,22.8,17.7,19.9,18.7,18.9
Inje,South Korea,0,0,0,0,11.6,11.3,11.4
Jangheung,South Korea,0,0,0,0,15.6,15.5,15.4
Jangseong,South Korea,0,0,28.3,25.2,23.9,24.2,24.2
Jeju,South Korea,21.8,18.7,21.4,0,13.6,15.2,15.2
Jeongseon,South Korea,0,0,16.4,0,14.0,16.0,16.0
Kunwi,South Korea,0,0,0,13.9,15.2,14.3,14.1
Mungyeong,South Korea,0,0,0,15.7,18.0,14.6,14.4
Namyangju,South Korea,0,23.9,24.8,20.1,17.8,17.7,17.8
Neietsu,South Korea,0,0,0,0,13.8,15.6,15.7
Nonsan,South Korea,0,0,23.5,0,18.2,18.6,18.9
Osan,South Korea,28.8,27.8,28.2,22.8,23.0,22.6,22.6
Paju,South Korea,29.0,25.1,27.9,0,22.1,19.7,19.7
Pocheon,South Korea,26.8,23.6,24.9,0,18.8,18.2,18.2
Pohang,South Korea,20.8,23.6,18.5,15.7,15.9,15.6,16.0
Pyeongchang,South Korea,0,0,25.2,0,13.7,15.1,15.1
Pyeongtaek,South Korea,33.1,29.5,29.4,21.7,22.8,23.2,23.2
Samcheok,South Korea,22.2,18.3,18.7,0,11.2,11.9,11.9
Sangju,South Korea,0,0,26.7,19.8,20.5,17.4,17.2
Sejong,South Korea,19.2,21.9,26.5,21.6,19.3,18.8,18.7
Seocheon,South Korea,0,0,24.3,19.2,17.5,15.6,15.5
Seogwipo,South Korea,18.9,18.2,17.3,0,12.6,12.3,12.4
Seongnam,South Korea,25.6,23.8,23.8,19.8,18.8,17.7,17.8
Seosan,South Korea,19.8,18.7,21.5,18.9,25.4,25.8,25.9
Seoul,South Korea,25.2,23.3,24.8,20.9,19.7,18.3,18.3
Siheung,South Korea,26.6,28.7,30.6,20.0,22.2,20.5,20.6
Sokcho,South Korea,0,0,0,0,10.9,10.6,10.6
Suwon,South Korea,25.8,23.6,25.5,21.0,19.5,18.2,18.2
Taean,South Korea,0,0,21.6,17.1,20.4,18.4,18.5
Taebaek,South Korea,0,0,15.8,13.2,11.9,11.7,11.7
Uijeongbu,South Korea,29.1,24.4,24.6,0,18.8,18.3,18.4
Uiwang,South Korea,25.7,25.1,27.1,0,17.0,16.6,16.6
Ulleung,South Korea,0,0,0,12.8,10.5,13.3,13.4
Ulsan,South Korea,0,0,20.1,16.3,14.9,15.5,15.6
Wonju,South Korea,31.4,29.6,27.7,18.4,17.4,17.8,17.9
Yanggu,South Korea,0,0,0,0,15.1,15.0,14.9
Yangju,South Korea,32.5,28.6,27.4,0,19.0,19.4,19.4
Yangpyeong,South Korea,27.6,23.8,25.4,0,18.8,18.8,18.8
Yangsan,South Korea,25.5,22.4,21.2,0,17.5,16.4,16.4
Yecheon,South Korea,0,0,0,14.8,16.7,16.1,15.9
Yeoju,South Korea,28.4,27.2,31.3,0,20.4,20.8,20.8
Yeoncheon,South Korea,25.8,20.6,21.8,0,16.1,14.0,13.8
Yeongdeok,South Korea,0,0,0,11.9,12.6,13.1,12.9
Yeongdong,South Korea,0,0,29.5,0,18.0,18.1,17.9
Yeongi,South Korea,0,0,25.8,18.4,20.1,23.3,23.4
Yeongju,South Korea,26.9,28.1,26.9,20.7,19.5,16.9,16.9
Yeonil,South Korea,0,0,0,17.2,17.6,16.2,16.7
Yesan,South Korea,0,0,30.4,0,20.8,21.0,21.2
Yongin,South Korea,28.1,24.8,25.2,21.4,20.5,19.6,19.6
Yonmu,South Korea,0,0,0,0,17.0,19.8,19.6
A Coruna,Spain,13.7,13.5,12.0,14.0,12.5,11.3,11.4
Aguimes,Spain,0,0,10.4,7.4,8.5,8.6,8.6
Aia,Spain,0,0,0,5.0,5.3,5.8,5.8
Alacant,Spain,9.7,4.4,6.5,6.7,5.0,4.5,4.5
Albacete,Spain,0,0,7.9,9.3,8.7,10.1,10.0
Albalat dels Tarongers,Spain,5.1,4.7,4.6,5.1,3.2,3.1,3.2
Alcalá de Henares,Spain,0,0,12.3,12.4,10.3,9.4,9.4
Alcantarilla,Spain,0,0,0,13.8,13.6,13.8,14.0
Alcorcón,Spain,0,0,9.4,10.7,9.7,8.4,8.4
Aldeavieja de Tormes,Spain,0,0,0,0,8.7,8.7,7.8
Alfaro,Spain,0,0,8.7,7.7,6.7,7.8,7.9
Algar de Palancia,Spain,5.2,6.2,6.0,5.2,4.2,3.7,3.6
Algeciras,Spain,0,0,0,0,10.1,9.1,9.1
Algete,Spain,10.8,12.3,13.2,10.5,9.9,10.6,10.6
Almassora,Spain,7.4,8.7,7.4,5.5,7.1,6.7,6.7
Almería,Spain,0,0,0,4.4,7.1,9.4,9.5
Altsasu,Spain,0,0,0,0,9.7,10.5,10.5
Andoain,Spain,0,0,0,0,8.3,10.1,10.2
Arafo,Spain,0,0,12.5,17.8,12.6,11.9,11.8
Arona,Spain,0,0,8.3,10.3,9.0,14.4,14.3
Arrecife,Spain,0,0,0,0,9.5,10.6,10.5
Arrúbal,Spain,0,0,7.6,8.3,8.8,7.8,7.8
Arucas,Spain,11.4,7.8,7.8,22.8,8.2,8.9,8.9
As Pontes de Garcia Rodriguez,Spain,0,0,0,0,6.7,6.7,6.8
Aviles,Spain,0,10.5,7.1,9.1,9.0,10.8,10.8
Azuqueca de Henares,Spain,0,0,0,0,0,7.1,7.3
Bailén,Spain,0,0,0,0,12.2,14.8,14.5
Barakaldo,Spain,0,0,0,12.9,12.2,12.5,12.5
Barcelona,Spain,0,0,0,0,13.2,13.0,13.0
Barreda,Spain,0,0,0,0,14.6,14.1,14.1
Beasain,Spain,8.5,9.5,10.2,9.8,8.9,11.7,11.8
Benicasim,Spain,5.0,6.6,7.1,4.9,4.4,4.9,5.0
Bilbo,Spain,10.2,9.7,9.7,9.2,10.1,11.0,11.0
Borriana,Spain,6.7,5.4,5.1,4.8,5.1,5.3,5.3
Breña Baja,Spain,0,0,0,0,6.7,10.3,10.1
Bunyola,Spain,0,0,0,0,8.4,7.6,8.9
Camargo,Spain,0,0,0,0,11.7,11.8,11.8
Campillos,Spain,0,0,0,0,9.0,6.1,6.1
Candelaria,Spain,0,0,7.9,9.8,8.2,11.2,11.2
Cangas del Narcea,Spain,0,0,0,7.1,7.7,8.0,8.0
Cardenajimeno,Spain,0,0,5.1,5.4,5.5,5.3,5.3
Cartagena,Spain,0,0,0,12.2,9.1,14.3,14.3
Castello de la Plana,Spain,9.9,7.4,7.2,7.9,5.6,4.0,4.0
Caudete de las Fuentes,Spain,7.7,5.7,6.1,5.9,6.9,4.8,4.8
Ceuta,Spain,0,0,0,0,7.7,8.4,8.4
Chert/Xert,Spain,0,0,0,0,11.5,10.2,10.2
Ciudad Real,Spain,0,0,0,0,11.0,8.9,9.4
Collado Villalba,Spain,10.3,9.0,10.2,12.3,11.1,10.2,10.2
Coslada,Spain,0,0,12.0,11.7,13.1,11.3,11.3
Curtis,Spain,0,0,0,0,6.6,6.2,6.2
Córdoba,Spain,0,0,0,0,15.1,13.0,13.2
Donostia,Spain,8.8,9.6,8.9,8.0,8.9,8.6,8.6
Durango,Spain,9.8,8.3,7.7,6.9,10.6,9.7,9.4
El Grao de Castellón,Spain,0,0,0,0,15.8,11.0,11.0
Elche,Spain,0,0,0,0,12.7,13.7,13.8
Elda,Spain,10.9,10.1,9.7,9.2,8.3,8.0,8.0
Erandio,Spain,0,0,9.4,8.9,8.9,9.4,9.4
Estación Férrea,Spain,0,0,0,0,12.6,7.0,6.9
Ferrol,Spain,8.7,8.1,7.8,7.4,7.5,6.8,6.8
Frigiliana,Spain,0,0,8.4,8.4,8.7,7.8,7.7
Funes,Spain,0,0,0,0,9.4,10.3,10.5
Galilea,Spain,0,0,8.0,7.5,7.5,8.6,8.6
Gandesa,Spain,0,0,0,0,13.4,8.0,8.1
Getafe,Spain,0,0,11.5,11.8,11.0,10.9,11.0
Getxo,Spain,0,0,0,0,8.6,9.8,9.6
Gibraltar,Spain,0,0,0,0,0,9.7,9.7
Gijon,Spain,10.6,9.9,11.2,9.8,10.2,10.9,10.9
Granada,Spain,0,0,0,0,12.6,12.9,12.9
Granadilla de Abona,Spain,0,0,7.5,11.2,10.9,11.9,11.7
Hernani,Spain,0,0,0,0,9.2,10.1,10.0
Huelva,Spain,0,0,0,0,8.5,8.5,8.5
Igualada,Spain,0,0,0,0,24.5,11.4,11.7
Jaén,Spain,0,0,0,0,8.5,9.2,9.3
L'Alcora,Spain,8.0,8.6,6.9,6.6,5.4,5.0,5.0
La Aljorra,Spain,0,0,0,14.0,11.9,12.8,12.8
La Granja de San Ildefonso,Spain,0,5.0,5.4,5.0,5.6,5.8,5.8
La Línea de la Concepción,Spain,0,0,12.5,11.3,10.5,8.4,8.4
Lalastra,Spain,5.3,5.5,6.3,5.8,4.1,5.6,5.8
Langreo,Spain,16.5,12.1,12.4,10.6,9.5,10.3,10.3
Las Palmas de Gran Canaria,Spain,0,0,0,31.0,11.6,11.6,11.6
Las Rosas,Spain,0,0,6.4,8.9,8.6,14.2,13.5
Lasarte,Spain,0,0,0,0,8.4,9.3,9.3
Laudio,Spain,0,0,0,0,10.0,10.9,10.8
Laza,Spain,7.5,6.2,5.9,5.8,5.6,6.8,6.7
Leganés,Spain,0,0,12.0,13.0,12.9,10.0,10.0
Leitza,Spain,0,0,0,0,5.9,7.4,7.4
Leon,Spain,0,0,0,0,8.6,7.7,7.7
